% Model:              AluminaWithRodsOriginalParts.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 9 2026, 17:19
% Dimension:          1
% Nodes:              1000
% Expressions:        5
% Description:        Electric field norm, Electric potential, Electric field, x component, Electric field, y component, Electric field, z component
% cln2x                   es.normE (V/m)           V (V)                    es.Ex (V/m)              es.Ey (V/m)              es.Ez (V/m)
11.2875                   3.899811136531337        -0.9537740615649104      -1.7107360529486613      -2.9957374384416795      1.8186440711899508
11.5025                   4.045151335800394        -0.9541325235671301      -1.7389949758290584      -3.322835368587846       1.5158861820171978
11.7175                   4.232833528809132        -0.9544258926231777      -1.767253898709555       -3.6499332987339557      1.213128292844459
11.932500000000001        4.4575125305332906       -0.954654168733053       -1.7955128215899094      -3.977031228879966       0.9103704036715214
12.1475                   4.713901161594492        -0.9548173518967564      -1.8237717444703065      -4.3041291590260045      0.6076125144989533
12.3625                   4.997120999823026        -0.9549154421142877      -1.8520306673508315      -4.631227089172114       0.30485462532607244
12.5775                   6.075232932200873        -0.9542660679615773      -2.8189475581302474      -3.459067478075383       -4.12272264736918
12.792499999999999        6.887927132802808        -0.9533301424178626      -3.6173983305081094      -3.6536192552584623      -4.583561480207596
13.0075                   7.7300787908429625       -0.9522951365250881      -4.415849102885971       -3.848171032441428       -5.044400313046143
13.2225                   2.509539204711953        -0.9525460882588962      -1.029960834676686       -0.2676086206906376      2.2727413678530297
13.4375                   2.1939138521117667       -0.9529934838656003      -1.1087657488937808      0.12361208593767259      1.8890782293960307
13.6525                   1.9853592823993258       -0.9533583918975368      -1.1875706631109466      0.5148327925658975       1.5054150909387722
13.8675                   1.9191059087899334       -0.9536408123547042      -1.2663755773280965      0.9060534991942717       1.1217519524820014
14.082500000000001        4.560194363983813        -0.953391746837633       0.540738141346818        0.08468767594525328      -4.527229052891571
14.297500000000001        4.648746168055884        -0.9524100606017969      0.5992029962537799       0.21955342005008305      -4.6047359316294205
14.512500000000001        4.741469991638349        -0.9514117103870323      0.6576678511607312       0.3544191641549972       -4.682242810367299
14.727500000000001        4.83812596746795         -0.9503966961933392      0.7161327060676612       0.48928490825992554      -4.759749689105192
14.9425                   4.938483220732453        -0.9493650180207172      0.7745975609745841       0.624150652364925        -4.837256567843042
15.157499999999999        5.042320756825295        -0.9483166758691663      0.8330624158815567       0.7590163964698124       -4.9147634465808
15.372499999999999        5.149428041720343        -0.9472516697386875      0.8915272707885151       0.8938821405747426       -4.992270325318703
15.587499999999999        5.259605322444625        -0.9461699996292796      0.9499921256954167       1.028747884679749        -5.069777204056553
15.802499999999998        5.372663732991963        -0.9450716655409432      1.0084569806022472       1.1636136287846632       -5.147284082794375
16.0175                   5.48842522738671         -0.943956667473678       1.0669218355093193       1.2984793728896342       -5.224790961532186
16.232499999999998        5.606722377138928        -0.9428250054274844      1.1253866904161498       1.4333451169945413       -5.302297840270054
16.447499999999998        5.727398065517544        -0.9416766794023618      1.1838515453231366       1.5682108610995797       -5.379804719007879
16.6625                   5.850305106262869        -0.9405116893983108      1.2423164002300098       1.7030766052043909       -5.457311597745765
16.8775                   5.975305809807915        -0.9393300354153313      1.3007812551370534       1.8379423493092801       -5.534818476483558
17.0925                   6.102271515917074        -0.9381317174534228      1.3592461100440687       1.972808093414379        -5.612325355221458
17.3075                   18.425567961311103       -0.9365042083581046      -2.126153978735829       8.606681748219728        -16.1525865804973
17.5225                   11.01659905662497        -0.9336721292343373      -6.986636389886684       2.9877421877540407       -7.976575916360105
17.7375                   11.543563343619342       -0.9319170004189566      -7.469941175407413       2.7799155821644526       -8.350203761594344
17.9525                   7.725640709253478        -0.930728960503947       -6.180797084547692       3.5699880895647738       -2.9560880921391686
18.1675                   7.896947519255645        -0.9301011401526483      -6.312552088750493       3.7676818321627223       -2.884101222266761
18.3825                   6.775915491020309        -0.9293150342176458      -4.154510930092272       3.1517322108755224       -4.32662151616276
18.5975                   6.179783283022042        -0.9283794044013594      -3.416598055689235       2.712788875650297        -4.376911658592988
18.8125                   7.964247602955496        -0.9269320821910366      -4.069093422883842       -0.35728446619569354     -6.836963244543668
19.0275                   7.7084994604997705       -0.9254946601980126      -4.088944368097934       -0.059839181276032605    -6.5343643271178
19.2425                   7.467811411736785        -0.9241223226944623      -4.108476960404634       0.2381368814609317       -6.231525910463546
19.4575                   7.243775944386432        -0.9228151213167362      -4.1276895155189415      0.5366465101431572       -5.9284466531375415
19.6725                   7.038078147336787        -0.9215731079907294      -4.146580335437541       0.8356925145160545       -5.62512520313674
19.8875                   6.85246772236835         -0.9203963349341615      -4.165147708290272       1.1352777261650502       -5.321560197789545
20.1025                   5.897899449940797        -0.9193716192950558      -1.4585335499002525      3.374115430475797        -4.612292582572408
20.3175                   5.786756665927117        -0.9184006215918484      -1.7091589483486302      3.320658020314653        -4.420244191450479
20.5325                   5.691484361645527        -0.9174709142927325      -1.959784346797477       3.2672006101535516       -4.228195800328486
20.747500000000002        5.612890744190677        -0.916582497397707       -2.2104097452459115      3.213743199992578        -4.036147409206549
20.962500000000002        5.551684205063296        -0.9157353709067734      -2.4610351436944597      3.1602857898315904       -3.844099018084549
21.177500000000002        5.508444359203468        -0.9149295348199304      -2.711660542143065       3.10682837967056         -3.6520506269626765
21.392500000000002        5.4835962418190025       -0.9141649891371795      -2.9622859405916415      3.0533709695093876       -3.460002235840591
21.6075                   5.47739016022303         -0.9134417338585192      -3.212911339040346       2.9999135593482436       -3.267953844718832
21.8225                   5.489889336815865        -0.9127597689839503      -3.4635367374887664      2.94645614918727         -3.0759054535968318
22.037499999999998        3.588914738118086        -0.9123451747317264      -1.4821088824097046      3.262404444958804        -0.20094649953782096
22.252499999999998        3.4534797327165836       -0.9122960114540957      -1.275988938400232       3.198849879334972        -0.25638631563148806
22.467499999999998        3.3274512627180752       -0.912234928616005       -1.0698689943911148      3.1352953137109836       -0.3118261317250415
22.6825                   3.2119367867256154       -0.9121619262174541      -0.8637490503814647      3.0717407480871657       -0.3672659478188649
