Cs Rydberg State (n), Distance (um), Rb-Cs Energy Shift (GHz), Na-Cs Energy Shift (GHz), Rb-Rb Energy Shift (GHz), Na-Na Energy Shift (GHz), Cs-Cs Energy Shift (GHz)
70, 6, 0.19374015772391764, -0.10328104384144811, 0.018313589973081527, 0.03789815975860134, 0.013650849211255105
70, 7, 0.08458936300796221, -0.08504432741012713, 0.007304818522031574, 0.015464795032285724, 0.005457602652219044
70, 8, 0.03780993115872278, -0.06833665519001834, 0.003285335077069658, 0.0070175590489150435, 0.002456666353308198
70, 9, 0.018075470530119025, 0.037578049655063187, 0.0016219873988021247, 0.0034777695887076715, 0.0012133055345434785
70, 10, 0.009369502171210888, 0.02377311760507423, 0.0008623413908767452, 0.0018522217569029162, 0.0006451698521892838
70, 11, 0.00520857713553208, 0.015386363245966483, 0.00048687019993847586, 0.001046654905235893, 0.0003642878128635683
70, 12, 0.0030628539439853486, 0.010124640087608407, 0.00028889058696920835, 0.0006213276458351241, 0.00021616507488245005
70, 13, 0.001884937665538383, 0.00675713487246448, 0.00017872911752973597, 0.00038449370269335323, 0.00013373988179125003
70, 14, 0.001204591658737149, 0.004572762767256879, 0.00011458177424947204, 0.00024652854895759583, 8.574163933920673e-05
71, 5, 0.09032568793349337, 0.29468289633152, 0.06308835718539749, 0.06622273923550415, 0.046756814626104454
71, 6, 0.2195594834508192, 0.17788626273086597, 0.021610765667023055, 0.023233099551593847, 0.01615566789984033
71, 7, 0.09839202184103245, 0.12726060853596483, 0.00863156109266353, 0.009358616981720904, 0.006471295417120442
71, 8, 0.044696662442619564, -0.063503526367421, 0.0038839660268225294, 0.004224805883700574, 0.002915036878249468
71, 9, 0.021414045971265522, -0.04282472287797586, 0.001917930409296516, 0.002089092759262387, 0.001440113795297664
71, 10, 0.011067997073103375, -0.029009901515620225, 0.001019777323688932, 0.001111484155458685, 0.0007658776384329526
71, 11, 0.006135378460793687, -0.019798100832358168, 0.0005757832862440956, 0.0006277579754914337, 0.0004324724666300186
71, 12, 0.003600946704873452, -0.013610657873060377, 0.00034165599006871983, 0.0003725575680176398, 0.00025663361034534304
71, 13, 0.0022134422783527874, -0.009423581033299907, 0.00021137591512089893, 0.00023051493953827319, 0.0001587799286971935
71, 14, 0.001413481193063748, -0.00657377965757168, 0.000135511798686914, 0.0001477892900931444, 0.00010179550490328832
72, 5, 0.11575559715229464, 0.31851199589594764, 0.07388791234713217, 0.07751809231679564, 0.05470192143526792
72, 6, 0.247123615041579, 0.18266708332336068, 0.025429099328660564, 0.027456664237833325, 0.01902912873135855
72, 7, 0.11356615347252248, 0.12854222153508701, 0.010172362104506477, 0.011099824365793804, 0.007639807458681547
72, 8, 0.052582017680984916, -0.07037693239116631, 0.00457991602276688, 0.005017916915297655, 0.003444381112712751
72, 9, 0.025321332927363296, -0.04877644446622531, 0.002262136471219653, 0.0024827600909601262, 0.001702242220993438
72, 10, 0.013059346628999506, -0.033972806851210624, 0.001202925283479803, 0.0013212968909171881, 0.0009054321704546816
72, 11, 0.00721757430419286, -0.02388669503562474, 0.0006792277794312302, 0.0007463606628848357, 0.0005113169581684189
72, 12, 0.004226798898931278, -0.016951431273543, 0.0004030482880252086, 0.00044297659879062487, 0.00030343323513621744
72, 13, 0.002594464687616623, -0.012127015142461428, 0.00024936142719959615, 0.0002740961682120828, 0.00018773885060729864
72, 14, 0.0016553253661966442, -0.008736461249015838, 0.00015986491661576136, 0.00017573386101979953, 0.00012036242655853524
73, 5, 0.1443128837617485, 0.7089844315196691, 0.08620844177006294, 0.12043331731692997, 0.06371697155564492
73, 6, 0.27655906653264334, 0.304769895225581, 0.02983389772964153, 0.044254103834899555, 0.022340018011273614
73, 7, 0.13013276384646563, 0.13568922398700092, 0.011956544873352681, 0.018165276663227804, 0.008993487987026883
73, 8, 0.06152522908977526, 0.06327753861267958, 0.005386938326395032, 0.008263247316229906, 0.004058878417371288
73, 9, 0.029874896018507725, 0.031485103003115446, 0.002661513225335439, 0.004099502969635524, 0.002006803987169661
73, 10, 0.015393833276732775, 0.01674784730996352, 0.0014154865242323054, 0.0021844445841051443, 0.001067643072599938
73, 11, 0.008482229315183623, 0.00944879566566901, 0.0007993014148694364, 0.0012346963458776809, 0.0006029799919708079
73, 12, 0.004955139487279431, 0.005602673399556068, 0.0004743147071799029, 0.0007330517417795521, 0.0003578472904588584
73, 13, 0.0030364802207256463, 0.003464511733908508, 0.0002934581343304231, 0.0004536644528124778, 0.00022141145089876055
73, 14, 0.001935283024970692, 0.0022203161991800873, 0.0001881366685950845, 0.0002908911926119783, 0.00014195224814204913
74, 5, 0.17586731669918895, 0.784524095834137, 0.10018298532400848, 0.13795428442640234, 0.07389058610739219
74, 6, 0.30768386043146445, 0.3442140033184442, 0.034896981239870936, 0.05145462795128684, 0.026141717024558742
74, 7, 0.14799406019048622, 0.15620044363026037, 0.014016853906087243, 0.02126609722413808, 0.010557628955154595
74, 8, 0.07151983058487661, 0.07366893453524043, 0.006320479535820938, 0.009702178910067916, 0.004770650004111825
74, 9, 0.03513787658311785, 0.03679848871710558, 0.0031238374395262136, 0.004819613086694632, 0.002359943871114068
74, 10, 0.018123838405254396, 0.019589587235302252, 0.0016616325743070736, 0.0025697232965000037, 0.0012558170951781225
74, 11, 0.009959336947262956, 0.011051719067317875, 0.0009383697468111954, 0.001452907032214183, 0.0007093397529545144
74, 12, 0.005802444077319356, 0.0065520844758027805, 0.0005568621108699532, 0.0008627447500209851, 0.00042099374107377584
74, 13, 0.003548921282800386, 0.004051041124929654, 0.00034453752859225884, 0.0005339753591051287, 0.0002604905913051206
74, 14, 0.002259050558312921, 0.0025959560227152177, 0.00022088616224862756, 0.0003424042736022384, 0.00016700960015211198
75, 5, 0.5909197768760074, 0.8638058268602598, 0.13365537207909992, 0.15718142363777493, 0.08529149689132666
